Transaction ID,Customer ID,Product ID,Transaction Date,Quantity,Total Amount,Currency,Payment Method
1e0c8016-176b-4bf1-b935-142ebd32893a,5b0d1a1a-3aeb-4eec-bee4-f4439f738a4f,5b4e98a7-737c-47ce-a881-0939dd87ed0b,2/28/24,9,240,USD,Bank Transfer
edd97c94-46fb-492c-b836-c5764db29b38,c4885740-a067-42d1-81b1-6d3fe164ed3e,b5e52de9-a11f-4fe4-8704-ed856558c277,1/5/24,6,148,USD,Credit Card
4e287c20-ef1d-4703-ae50-c36436a93944,c9181f99-2749-411e-b1a8-1cc0cdfcfa4f,5d9e6dc8-2b8b-48e6-b9af-2c51fcbf353b,2/23/24,9,570,USD,Credit Card
4fe8799f-8fc3-4c65-9e66-503e6d4c421f,27b2074c-fce9-45c2-9d29-227efa6b6fb2,17f360d9-e906-4154-919b-06c12a940272,2/10/24,8,349,USD,Credit Card
c30edb03-c7ad-4306-8b81-90c7822c73c8,fc9a1b66-4e6b-439f-93ea-a6abc641c30b,b03e12c2-ad92-4d7f-9096-b0426e34e288,6/27/24,2,120,USD,PayPal
97f6f3fc-072f-49b5-a3c4-82e96254f63d,5b9d7284-cd2a-4397-ad1c-f4b97de62df4,9457106a-2e76-4a40-8120-0ec8228104cc,6/30/24,2,907,USD,Bank Transfer
efce5478-8de2-4747-91ef-8d20923ce959,3e6c76bf-0d35-468b-b537-cd518500de0a,b5e52de9-a11f-4fe4-8704-ed856558c277,4/28/24,5,499,USD,Credit Card
43002e38-600d-4f1f-bacd-899ba8ab431a,9a193d3d-f66f-4143-ac09-87db68366836,fc2650f2-51ee-4460-93cd-d1878d5d6f4b,6/23/24,5,120,USD,PayPal
64ed0629-c8d7-4d97-be04-7383266c7679,94d412cf-b554-46cd-b005-55a8f79685e2,15d94660-a5a8-4b91-9f08-bbf12cde9a80,5/27/24,8,728,USD,Credit Card
0b695f30-b38e-47f5-adb1-3218f5e77ded,88c60a11-3191-4fe9-8ed3-97cabb1bcd70,d6b4f402-0052-4073-8d45-b4df03c5831d,1/10/24,9,605,USD,Credit Card
d6c33798-248e-4e3e-a53a-4e721352d58f,95ff59d0-c80e-4cac-9b0d-fdbc249c3c0a,ffcf4ae4-833e-4463-b236-a1167dbaa1f7,4/9/24,9,689,USD,Bank Transfer
5260249f-1ea4-4cae-aa0d-949dc8b048ef,529889ff-c1d5-474b-b603-0c54300a9e9a,9457106a-2e76-4a40-8120-0ec8228104cc,1/18/24,6,676,USD,Credit Card
9d772eed-4ae2-49dc-90f2-9188c1cc2419,3ac3e128-2d61-4cc0-a1cb-a0642cb8f567,90f054ea-dbc4-4638-9f00-95e019af8c29,2/15/24,3,591,USD,PayPal
0fded4a5-6c50-4230-9db9-e9b658c79fff,97c76675-dc95-4f38-976c-3994922ad144,c8bda2b4-a320-4cec-98f3-2d8e9269b867,1/1/24,10,725,USD,PayPal
67a0653d-a967-42a8-b408-3d9099e0276e,9889ba4a-8462-4639-88ae-e6789dc1f2a5,26941f34-ef1e-4e05-be79-de9735f5138c,7/28/24,3,112,USD,PayPal
f6d31b87-8a6e-4576-b712-f92431c642d9,e9b07e0c-6656-45c4-b3c7-31938da81741,212e6e24-62d9-4ee2-b7e0-779e3c9a6423,3/19/24,5,159,USD,Credit Card
4bd9a92c-1231-486a-998b-fd4030a813ff,7aed2464-9abf-4e1d-a62c-faebd01cf602,643b8cbd-6aa8-4a78-bb5b-fae13ed2a4d5,6/14/24,7,407,USD,PayPal
d6cd1444-1a5c-47b3-936f-debb8b6e7b17,3efcb0af-88fc-4124-a3fa-3c4bfc903a52,ffcf4ae4-833e-4463-b236-a1167dbaa1f7,6/25/24,4,41,USD,Bank Transfer
63e0843b-1b5f-4710-b078-b985503b9b15,e03e4efe-507c-4904-9e5c-641ea712c5bf,b5e52de9-a11f-4fe4-8704-ed856558c277,3/18/24,9,977,USD,PayPal
69bf3b9a-11d1-4c70-956d-ceb699c4fd71,1b9f3e45-307e-44c1-b172-94c4d974c188,c4a632b2-856c-4622-9f71-65af8071a6dd,7/30/24,3,735,USD,Bank Transfer
89c14762-ba19-4458-ba22-f35d6ee549cb,e6f2a7cc-bf38-4989-b30f-56f190f78b3e,524574cb-a60c-47a4-801a-b5f28ca2c48b,3/28/24,9,893,USD,PayPal
8ce4e9a0-9845-4f16-a50d-b1713f03f625,88c60a11-3191-4fe9-8ed3-97cabb1bcd70,5eac11b9-ec91-42e5-87ef-daae9cb1e473,5/12/24,2,613,USD,Credit Card
e654104c-0c8b-4678-b999-821c6bfd6f7c,5e7c5601-1c28-4602-b94d-73ecf446b189,5eedc85c-f4e6-49f9-8059-1aa666e9641d,5/18/24,10,698,USD,Credit Card
